Claim Number,Date Received,Incident D,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01501E+12,42024,42022,LAX,Los Angeles International Airport ,Asiana Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny
2.01501E+12,42024,42021,LAX,Los Angeles International Airport ,Spirit Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny
2.01501E+12,42024,41991,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,0,Deny
2.01501E+12,42024,42010,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01501E+12,42025,41959,LAX,Los Angeles International Airport ,Westjet Airlines Ltd  ,Passenger Property Loss,Checkpoint,Personal Electronics,-,-
2.01501E+12,42026,42023,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Other,-,-
2.01501E+12,42026,42010,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Clothing,0,Deny
2.01501E+12,42027,42006,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Other,0,Deny
2.01501E+12,42027,41995,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Other,16.34,Approve in Full
2.01501E+12,42027,41974,LAX,Los Angeles International Airport ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Accessories,0,Deny
2.01501E+12,42031,42021,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checkpoint,Clothing,0,Deny
2.01501E+12,42032,42026,LAX,Los Angeles International Airport ,Etihad Airways,Passenger Property Loss,Checked Baggage,Other,0,Deny
2.01501E+12,42032,41972,LAX,Los Angeles International Airport ,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Baggage/Cases/Purses; Clothing; Food & Drink; Other; Other; Other,325,Settle
2.01501E+12,42032,42007,LAX,Los Angeles International Airport ,-,Property Damage,Checked Baggage,Other,15,Approve in Full
2.01501E+12,42032,42006,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Household Items,48,Approve in Full
2.01501E+12,42032,42016,LAX,Los Angeles International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01501E+12,42032,42015,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Jewelry & Watches; Jewelry & Watches,0,Deny
2.01501E+12,42034,42027,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,0,Deny
2.01501E+12,42034,42009,LAX,Los Angeles International Airport ,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry & Watches,0,Deny
2.01501E+12,42034,42026,LAX,Los Angeles International Airport ,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing,181.34,Approve in Full
2.01501E+12,42036,41890,LAX,Los Angeles International Airport ,Virgin America,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses; Clothing; Jewelry & Watches; Jewelry & Watches; Jewelry & Watches,0,Deny
2.01502E+12,42037,42010,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny
2.01502E+12,42038,42035,LAX,Los Angeles International Airport ,Westjet Airlines Ltd  ,Passenger Property Loss,Checked Baggage,-,0,Deny
2.01502E+12,42039,41983,LAX,Los Angeles International Airport ,Westjet Airlines Ltd  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny
2.01502E+12,42039,42035,LAX,Los Angeles International Airport ,-,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny
2.01502E+12,42039,42039,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0,Deny
2.01502E+12,42039,42023,LAX,Los Angeles International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,-,42.44,Approve in Full
2.01502E+12,42040,42034,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checkpoint,Clothing,0,Deny
2.01502E+12,42040,41988,LAX,Los Angeles International Airport ,Delta Air Lines  ,Property Damage,Checkpoint,Personal Electronics,-,-
2.01502E+12,42040,42014,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming; Other,0,Deny
2.01502E+12,42041,42012,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,0,Deny
2.01502E+12,42044,41979,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checkpoint,-,0,Deny
2.01502E+12,42044,42016,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2.01502E+12,42044,42041,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2.01502E+12,42045,42043,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checkpoint,Computer & Accessories,0,Deny
2.01502E+12,42045,42027,LAX,Los Angeles International Airport ,-,Complaint,Checkpoint,Food & Drink; Other,0,Deny
2.01502E+12,42047,41945,LAX,Los Angeles International Airport ,British Airways  ,Property Damage,Checked Baggage,-,0,Deny
2.01502E+12,42048,41708,LAX,Los Angeles International Airport ,Qantas Airlines,Property Damage,Checked Baggage,-,47.7,Approve in Full
2.01502E+12,42048,42043,LAX,Los Angeles International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,87.48,Approve in Full
2.01502E+12,42053,41992,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,0,Deny
